graph_model,sybil_size,overlap,rep,tau,w_eff,r_eff,sampled
erdos_renyi,10,0.3,12,0.5424710034755074,5.424710034755074,5.424710034755074,False
erdos_renyi,10,0.3,13,0.5436207982300474,5.436207982300473,5.436207982300473,False
erdos_renyi,10,0.3,14,0.5420123181452031,5.420123181452031,5.420123181452031,False
erdos_renyi,10,0.3,15,0.5411917048007314,5.411917048007314,5.411917048007314,False
erdos_renyi,10,0.3,16,0.5448614464293846,5.448614464293846,5.448614464293846,False
erdos_renyi,10,0.3,17,0.544558710684004,5.44558710684004,5.44558710684004,False
erdos_renyi,10,0.3,18,0.5432384458351971,5.4323844583519705,5.4323844583519705,False
erdos_renyi,10,0.3,19,0.5451582258164069,5.45158225816407,5.45158225816407,False
erdos_renyi,10,0.3,20,0.5439624054154399,5.439624054154399,5.439624054154399,False
erdos_renyi,10,0.3,21,0.5437481911557116,5.437481911557116,5.437481911557116,False
erdos_renyi,10,0.3,22,0.5394133373421564,5.394133373421564,5.394133373421564,False
erdos_renyi,10,0.3,23,0.5414927800930054,5.414927800930053,5.414927800930053,False
erdos_renyi,10,0.3,24,0.543068167612162,5.430681676121621,5.430681676121621,False
erdos_renyi,10,0.3,25,0.5461497993352403,5.4614979933524035,5.4614979933524035,False
erdos_renyi,10,0.3,26,0.5443882710796019,5.443882710796019,5.443882710796019,False
erdos_renyi,10,0.3,27,0.5440201712901789,5.440201712901789,5.440201712901789,False
erdos_renyi,10,0.3,28,0.5403832713597312,5.403832713597312,5.403832713597312,False
erdos_renyi,10,0.3,29,0.5434006636445528,5.4340066364455275,5.4340066364455275,False
erdos_renyi,10,0.5,0,0.4356620497921899,4.356620497921899,4.356620497921899,False
erdos_renyi,10,0.5,1,0.4367812865307764,4.367812865307764,4.367812865307764,False
erdos_renyi,10,0.5,2,0.4367079360059988,4.3670793600599875,4.3670793600599875,False
erdos_renyi,10,0.5,3,0.4367886131561576,4.367886131561576,4.367886131561576,False
erdos_renyi,10,0.5,4,0.43663218931857883,4.366321893185789,4.366321893185789,False
erdos_renyi,10,0.5,5,0.4369165545954292,4.369165545954292,4.369165545954292,False
erdos_renyi,10,0.5,6,0.4362930300477519,4.362930300477519,4.362930300477519,False
erdos_renyi,10,0.5,7,0.43680025477155593,4.368002547715559,4.368002547715559,False
erdos_renyi,10,0.5,8,0.43818874672877484,4.381887467287749,4.381887467287749,False
erdos_renyi,10,0.5,9,0.43839300374763146,4.383930037476315,4.383930037476315,False
erdos_renyi,10,0.5,10,0.4340817170242145,4.340817170242145,4.340817170242145,False
erdos_renyi,10,0.5,11,0.43661162941085996,4.3661162941086,4.3661162941086,False
erdos_renyi,10,0.5,12,0.436773786844586,4.36773786844586,4.36773786844586,False
erdos_renyi,10,0.5,13,0.43835087246353943,4.383508724635394,4.383508724635394,False
erdos_renyi,10,0.5,14,0.43711107200801247,4.371110720080125,4.371110720080125,False
erdos_renyi,10,0.5,15,0.43613533493897905,4.36135334938979,4.36135334938979,False
erdos_renyi,10,0.5,16,0.4381213082679376,4.381213082679376,4.381213082679376,False
erdos_renyi,10,0.5,17,0.4328582376871448,4.328582376871449,4.328582376871449,False
erdos_renyi,10,0.5,18,0.43852070987690717,4.385207098769071,4.385207098769071,False
erdos_renyi,10,0.5,19,0.4365622525908547,4.365622525908547,4.365622525908547,False
erdos_renyi,10,0.5,20,0.4380495751940767,4.380495751940767,4.380495751940767,False
erdos_renyi,10,0.5,21,0.43813310427899665,4.3813310427899665,4.3813310427899665,False
